City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
205,Paranaiba,BR,-19.6772,-51.1908,86.77,28,30,4.36,scattered clouds
206,Shaoguan,CN,24.8,113.5833,66.58,81,4,0.74,clear sky
207,Esperance,AU,-33.8667,121.9,59.56,59,100,28.39,overcast clouds
208,Rawson,AR,-43.3002,-65.1023,54.25,42,14,17.78,few clouds
209,Mayo,US,38.8876,-76.5119,96.35,61,13,1.01,few clouds
210,Roma,US,43.2128,-75.4557,89.89,45,1,9.22,clear sky
211,Lisala,CD,2.15,21.5167,69.87,99,92,1.03,overcast clouds
212,Channel-Port Aux Basques,CA,47.5702,-59.1367,52.27,65,1,14.0,clear sky
213,Chengde,CN,40.9725,117.9361,65.08,50,100,3.31,light rain
214,Warangal,IN,18.0,79.5833,87.94,55,44,3.56,scattered clouds
215,Bubaque,GW,11.2833,-15.8333,79.48,85,49,18.03,scattered clouds
216,Narsipatnam,IN,17.6667,82.6167,82.67,80,12,4.0,few clouds
217,San-Pedro,CI,4.7485,-6.6363,78.12,84,100,7.43,overcast clouds
218,Soller,ES,39.7662,2.7152,70.86,74,2,4.9,clear sky
219,Sobradinho,BR,-12.8333,-39.1,72.57,88,22,5.21,few clouds
220,Chapeco,BR,-27.0964,-52.6183,62.13,96,100,2.01,moderate rain
221,Dickinson,US,29.4608,-95.0513,92.19,68,20,1.01,few clouds
222,Nanortalik,GL,60.1432,-45.2371,45.99,68,100,14.56,overcast clouds
223,Traralgon,AU,-38.1833,146.5333,55.9,80,100,3.2,overcast clouds
224,Mayskiy,RU,47.6931,40.1025,58.44,87,46,7.23,scattered clouds
225,Contamana,PE,-7.3333,-75.0167,88.93,52,100,2.89,overcast clouds
226,Udachnyy,RU,66.4167,112.4,40.46,85,100,16.44,moderate rain
227,Bagdarin,RU,54.4333,113.6,54.81,84,99,4.38,overcast clouds
228,Madina,GH,5.6823,-0.1641,80.56,77,55,10.45,broken clouds
229,Tayshet,RU,55.9342,98.0044,45.64,80,74,9.33,broken clouds
230,Fairbanks,US,64.8378,-147.7164,66.24,51,1,0.0,clear sky
231,Dayong,CN,25.0209,118.2898,73.08,70,99,1.66,overcast clouds
232,Port Blair,IN,11.6667,92.75,83.88,78,100,11.45,overcast clouds
233,Wajima,JP,37.4,136.9,64.96,83,98,5.97,overcast clouds
234,Zhaotong,CN,27.3167,103.7167,62.51,66,100,1.32,overcast clouds
235,Constitucion,CL,-35.3333,-72.4167,54.77,63,100,10.89,overcast clouds
236,Takoradi,GH,4.8845,-1.7554,80.08,81,7,10.92,clear sky
237,Winnemucca,US,40.973,-117.7357,86.05,10,1,11.81,clear sky
238,Jimenez,MX,28.3333,-105.4,95.74,8,8,14.41,clear sky
239,Bolshaya Dzhalga,RU,45.9695,42.6966,58.82,84,100,7.34,overcast clouds
240,Kholodnyy,RU,62.7167,147.95,45.7,71,97,7.11,overcast clouds
241,Mayumba,GA,-3.432,10.6554,75.87,93,95,5.41,overcast clouds
242,Coahuayana,MX,18.7333,-103.6833,99.88,45,99,8.7,overcast clouds
243,Gigmoto,PH,13.7796,124.39,80.29,82,100,2.26,overcast clouds
244,Botad,IN,22.1667,71.6667,87.3,57,14,14.0,few clouds
245,Tomatlan,MX,19.9333,-105.25,93.78,41,55,12.44,broken clouds
246,Salalah,OM,17.0151,54.0924,84.29,89,40,8.05,scattered clouds
247,Wanning,CN,18.8003,110.3967,78.85,91,30,3.78,scattered clouds
248,Alugan,PH,12.2188,125.4808,77.2,89,100,3.87,moderate rain
249,Richards Bay,ZA,-28.783,32.0377,59.56,77,0,7.38,clear sky
250,Luderitz,NA,-26.6481,15.1594,67.48,36,0,5.5,clear sky
251,Nome,US,64.5011,-165.4064,38.16,93,90,13.8,light rain
252,Saint-Joseph,RE,-21.3667,55.6167,68.36,86,60,11.52,light rain
253,Isangel,VU,-19.55,169.2667,71.6,65,100,10.98,overcast clouds
254,Plaster Rock,CA,46.9065,-67.39,79.95,55,50,5.12,scattered clouds
255,Cap Malheureux,MU,-19.9842,57.6142,72.46,84,5,1.99,clear sky
256,Tsumeb,NA,-19.2333,17.7167,55.63,39,0,9.48,clear sky
257,Saint-Gaudens,FR,43.0833,0.6667,65.93,75,79,2.66,broken clouds
258,Rio Grande,BR,-32.035,-52.0986,59.11,64,100,11.25,overcast clouds
259,Santa Rosalia,MX,27.3167,-112.2833,90.14,31,9,2.24,clear sky
260,Mikhaylovka,RU,50.06,43.2379,57.63,88,57,6.78,broken clouds
261,Novo Aripuana,BR,-5.1206,-60.3797,84.36,69,97,2.19,overcast clouds
262,Uvinza,TZ,-5.1036,30.3911,71.53,62,100,0.34,overcast clouds
263,Komsomolskiy,UZ,40.4272,71.7189,87.22,44,63,5.37,broken clouds
264,Qaqortoq,GL,60.7167,-46.0333,55.9,77,100,4.54,overcast clouds
265,Chandbali,IN,20.7833,86.7667,85.91,75,59,14.85,broken clouds
266,Nikolskoye,RU,59.7035,30.7861,62.49,73,43,4.7,scattered clouds
267,Touros,BR,-5.1989,-35.4608,77.9,82,21,13.13,few clouds
268,Webuye,KE,0.6075,34.7697,61.25,90,65,1.32,broken clouds
269,Atar,MR,20.5169,-13.0499,100.87,14,11,16.06,few clouds
270,Sao Felix Do Xingu,BR,-6.6447,-51.995,83.91,62,99,1.83,overcast clouds
271,Talcahuano,CL,-36.7167,-73.1167,55.08,58,0,3.44,light rain
272,Adrar,MR,20.5022,-10.0711,102.18,10,94,12.77,overcast clouds
273,Kilindoni,TZ,-7.9139,39.6668,79.63,70,0,19.69,clear sky
274,Povenets,RU,62.8487,34.8262,52.29,56,100,11.92,overcast clouds
275,Bucerias,MX,20.75,-105.3333,85.98,66,40,8.61,scattered clouds
276,Tonj,SS,7.2737,28.6822,77.38,74,12,5.84,few clouds
277,Ust-Kuyga,RU,70.0167,135.6,45.03,62,5,4.29,clear sky
278,Arkhara,RU,49.4212,130.0842,50.77,86,6,1.23,clear sky
279,San Antonio,US,29.4241,-98.4936,91.15,64,40,1.01,scattered clouds
280,Inhambane,MZ,-23.865,35.3833,68.04,71,75,12.64,light rain
281,Karasjok,NO,69.4719,25.5112,44.71,44,12,5.86,few clouds
282,Leningradskiy,RU,69.3833,178.4167,38.16,87,15,12.15,few clouds
283,Kharod,IN,21.75,82.5667,90.7,44,4,7.85,clear sky
284,Teahupoo,PF,-17.8333,-149.2667,78.76,74,33,10.87,scattered clouds
285,Preston,GB,53.7667,-2.7167,66.18,83,9,2.3,clear sky
286,Dunedin,NZ,-45.8742,170.5036,44.8,87,95,3.8,overcast clouds
287,Nalut,LY,30.3333,10.85,91.0,11,38,14.92,scattered clouds
288,Viedma,AR,-40.8135,-62.9967,52.9,38,95,12.21,overcast clouds
289,Waipawa,NZ,-41.4122,175.5153,53.46,91,100,1.25,overcast clouds
290,Vila Franca Do Campo,PT,37.7167,-25.4333,66.61,79,100,3.13,overcast clouds
